Amino,Alaria Esculenta,-,Fucus Serratus,-,Fucus Vesiculosus,-,Ulva Lactuca,-,Palmaria Palmata,-,-,-,-
Acids,-,-,-,-,-,-,-,-,-,-,Asparagopsis Taxiformis,-,-
-,Total AA,Ratio,Total AA,Ratio,Total AA,Ratio,Total AA,Ratio,Total AA,Ratio,Total AA,Ratio,-
-,g/100 g CP),-,(g/100 g CP),-,(g/100 g CP),-,(g/100 g CP),-,(g/100 g CP),-,g/100 g CP),-,-
L-Cys +,0.35,1.18,0.15,0.92,0.89,3.30,0.02,0.11,0.49,1,0.07,0.25,-
L-Met,-,-,-,-,-,-,-,-,-,-,-,-,-
-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
L-Hydroxy,0.0,-,0.0,-,0.0,-,0.08,-,0.0,-,0.0,-,-
Pro,-,-,-,-,-,-,-,-,-,-,-,-,-
L-Asp,0.99,-,0.98,-,0.47,-,0.94,-,1.03,-,1.50,-,-
L-Thr,0.46,1.15,0.50,2.19,0.15,0.41,0.46,1.63,0.47,1.10,0.76,1.88,-
L-Ser,0.51,-,0.63,-,0.07,-,0.66,-,0.51,-,1.02,-,-
L-Glu,1.41,-,0.57,-,1.71,-,0.78,-,1.52,-,1.27,-,-
L-Pro,0.48,-,0.36,-,0.34,-,0.44,-,0.44,-,0.62,-,-
L-Gly,0.53,-,1.40,-,0.17,-,1.39,-,0.58,-,2.09,-,-
L-Ala,0.63,-,1.42,-,0.46,-,1.50,-,0.63,-,2.01,-,-
L-Val,0.54,1.31,0.56,2.43,0.12,0.32,0.60,2.02,0.62,1.40,0.95,2.29,0.02
L-Ile,0.43,1.30,0.34,1.85,0.12,0.39,0.33,1.39,0.36,1.04,0.62,1.87,-
L-Leu,0.71,0.91,0.57,1.30,0.06,0.08,0.58,1.03,0.59,0.71,0.91,1.16,-
L-Tyr +,0.47,0.63,0.33,0.78,0.85,1.24,0.31,0.58,0.43,0.55,0.46,0.62,-
L-Phe,-,-,-,-,-,-,-,-,-,-,-,-,-
L-Lys,0.53,0.77,0.40,1.05,0.18,0.27,0.29,0.58,0.56,0.77,0.46,0.67,-
L-His,0.50,2.25,0.10,0.76,0.57,2.77,0.08,0.47,0.47,1.95,0.11,0.48,-
-,0.70,-,0.25,-,0.12,-,0.27,-,0.60,-,0.38,-,-
L-Trp,-,-,-,-,-,-,-,-,-,-,-,-,-
L-Arg,-,-,-,-,-,-,-,-,-,-,-,-,-
